Date, Time, Latitude, Longitude, Altitude, Speed, Course, Type, Distance, Exception
2017/02/17, 23:22:22, 39.015251, -123.065575, 602.80,  1512.00, 313, 0, 9.50, 
2017/02/17, 23:22:27, 39.015301, -123.065605, 609.31,  936.00, 326, 0, 6.13, 
2017/02/17, 23:22:32, 39.015305, -123.065605, 606.63,  0.00, 326, 0, 0.44, 
2017/02/17, 23:22:37, 39.015221, -123.065598, 597.83,  1512.00, 262, 0, 9.36, 
2017/02/17, 23:22:44, 39.015217, -123.065620, 595.56,  0.00, 262, 0, 1.95, 1
2017/02/17, 23:22:48, 39.015217, -123.065620, 595.56,  0.00, 262, 0, 0.00, 
2017/02/17, 23:22:53, 39.015102, -123.065598, 588.28,  1548.00, 262, 0, 12.93, 
2017/02/17, 23:23:00, 39.015045, -123.065552, 582.40,  2268.00, 186, 0, 7.48, 
2017/02/17, 23:23:04, 39.014980, -123.065575, 583.41,  2772.00, 193, 0, 7.50, 
2017/02/17, 23:23:09, 39.015011, -123.065590, 586.75,  1980.00, 193, 0, 3.68, 
2017/02/17, 23:23:15, 39.015064, -123.065582, 591.49,  1260.00, 190, 0, 5.93, 
2017/02/17, 23:23:20, 39.015068, -123.065582, 591.00,  0.00, 190, 0, 0.44, 
2017/02/17, 23:23:25, 39.015068, -123.065582, 591.00,  0.00, 190, 0, 0.00, 
2017/02/17, 23:23:29, 39.015072, -123.065567, 592.53,  504.00, 190, 0, 1.37, 
2017/02/17, 23:23:35, 39.015022, -123.065598, 592.83,  1620.00, 187, 0, 6.17, 
2017/02/17, 23:23:40, 39.015034, -123.065620, 594.51,  0.00, 187, 0, 2.32, 
2017/02/17, 23:23:44, 39.015034, -123.065620, 594.51,  0.00, 187, 0, 0.00, 
2017/02/17, 23:23:50, 39.015034, -123.065620, 594.51,  0.00, 187, 0, 0.00, 
2017/02/17, 23:23:54, 39.015034, -123.065620, 594.51,  0.00, 187, 0, 0.00, 
2017/02/17, 23:23:59, 39.015114, -123.065689, 604.80,  0.00, 187, 0, 10.71, 
2017/02/17, 23:24:05, 39.015141, -123.065720, 599.78,  1512.00, 187, 0, 4.02, 
2017/02/17, 23:24:10, 39.015156, -123.065689, 597.31,  756.00, 187, 0, 3.16, 
2017/02/17, 23:24:15, 39.015129, -123.065666, 595.84,  792.00, 121, 0, 3.60, 
2017/02/17, 23:24:20, 39.015114, -123.065674, 594.68,  0.00, 121, 0, 1.81, 
2017/02/17, 23:24:24, 39.015114, -123.065674, 594.68,  0.00, 121, 0, 0.00, 
2017/02/17, 23:24:30, 39.015045, -123.065613, 589.22,  900.00, 121, 0, 9.31, 
2017/02/17, 23:24:34, 39.015011, -123.065628, 588.23,  2988.00, 168, 0, 4.00, 
2017/02/17, 23:24:39, 39.014904, -123.065605, 587.46,  3528.00, 157, 0, 12.06, 
2017/02/17, 23:24:44, 39.014843, -123.065605, 586.68,  1692.00, 160, 0, 6.78, 1
2017/02/17, 23:24:49, 39.014900, -123.065605, 583.89,  0.00, 160, 0, 6.34, 
2017/02/17, 23:24:54, 39.014908, -123.065559, 581.66,  1836.00, 160, 0, 4.07, 
2017/02/17, 23:24:59, 39.014885, -123.065552, 579.60,  1656.00, 160, 0, 2.63, 
2017/02/17, 23:25:05, 39.014870, -123.065552, 579.10,  0.00, 160, 0, 1.67, 
2017/02/17, 23:25:09, 39.014870, -123.065552, 579.10,  0.00, 160, 0, 0.00, 
2017/02/17, 23:25:15, 39.014904, -123.065559, 579.83,  1620.00, 160, 0, 3.83, 
2017/02/17, 23:25:19, 39.014919, -123.065575, 581.40,  0.00, 160, 0, 2.17, 
2017/02/17, 23:25:24, 39.014919, -123.065575, 581.40,  0.00, 160, 0, 0.00, 
2017/02/17, 23:25:30, 39.014908, -123.065598, 579.15,  1044.00, 160, 0, 2.33, 
2017/02/17, 23:25:35, 39.014862, -123.065605, 579.13,  2340.00, 176, 0, 5.15, 
2017/02/17, 23:25:39, 39.014889, -123.065613, 580.89,  1512.00, 171, 0, 3.08, 
2017/02/17, 23:25:45, 39.014957, -123.065613, 580.76,  0.00, 171, 0, 7.56, 
2017/02/17, 23:25:50, 39.014957, -123.065613, 580.76,  0.00, 171, 0, 0.00, 
2017/02/17, 23:25:54, 39.014957, -123.065613, 580.76,  0.00, 171, 0, 0.00, 
2017/02/17, 23:25:59, 39.014957, -123.065613, 580.76,  0.00, 171, 0, 0.00, 
2017/02/17, 23:26:05, 39.014904, -123.065559, 583.25,  972.00, 170, 0, 7.52, 
2017/02/17, 23:26:10, 39.014870, -123.065536, 582.79,  2088.00, 170, 0, 4.27, 
2017/02/17, 23:26:15, 39.014923, -123.065529, 582.87,  0.00, 170, 0, 5.92, 
2017/02/17, 23:26:20, 39.014942, -123.065536, 583.68,  0.00, 170, 0, 2.20, 
2017/02/17, 23:26:25, 39.014942, -123.065536, 583.68,  0.00, 170, 0, 0.00, 
2017/02/17, 23:26:30, 39.014942, -123.065536, 583.68,  0.00, 170, 0, 0.00, 
2017/02/17, 23:26:34, 39.014942, -123.065536, 583.68,  0.00, 170, 0, 0.00, 
2017/02/17, 23:26:40, 39.014942, -123.065536, 583.68,  0.00, 170, 0, 0.00, 
2017/02/17, 23:26:45, 39.015060, -123.065536, 593.55,  0.00, 170, 0, 13.12, 
2017/02/17, 23:26:49, 39.015060, -123.065536, 593.55,  0.00, 170, 0, 0.00, 
2017/02/17, 23:26:54, 39.015224, -123.065529, 601.08,  1008.00, 170, 0, 18.25, 
2017/02/17, 23:26:59, 39.015259, -123.065514, 605.02,  0.00, 170, 0, 4.10, 
2017/02/17, 23:27:05, 39.015209, -123.065498, 603.45,  612.00, 193, 0, 5.73, 
2017/02/17, 23:27:10, 39.015213, -123.065506, 603.15,  0.00, 193, 0, 0.82, 
2017/02/17, 23:27:14, 39.015213, -123.065514, 604.36,  0.00, 193, 0, 0.69, 
2017/02/17, 23:27:19, 39.015125, -123.065514, 604.72,  2376.00, 179, 0, 9.79, 
2017/02/17, 23:27:24, 39.015152, -123.065529, 603.21,  1692.00, 177, 0, 3.27, 
2017/02/17, 23:27:29, 39.015205, -123.065590, 603.02,  3096.00, 253, 0, 7.91, 
2017/02/17, 23:27:34, 39.015202, -123.065590, 601.94,  1728.00, 253, 0, 0.33, 
2017/02/17, 23:27:40, 39.015221, -123.065598, 601.21,  0.00, 253, 0, 2.22, 
2017/02/17, 23:27:45, 39.015221, -123.065598, 601.21,  0.00, 253, 0, 0.00, 
2017/02/17, 23:27:49, 39.015221, -123.065598, 601.21,  0.00, 253, 0, 0.00, 
2017/02/17, 23:27:54, 39.015221, -123.065598, 601.21,  0.00, 253, 0, 0.00, 
